ref,section,initial,total_order_helper,marginalize_loose_self_cycle,blockable_noncollider_first,sigma_separation_J_empty_premise,cdmg_typed_edges,row_total
def_3_1,3.1,2052,,,,,2880,4932
def_3_2,3.1,2705,,,,,3560,6265
def_3_3,3.1,2933,,,,,3023,5956
claim_3_1,3.1,3486,,,,,2494,5980
def_3_4,3.1,9756,,,,,10785,20541
def_3_5,3.1,5035,,,,,2618,7653
def_3_6,3.1,2347,,,,,2323,4670
def_3_7,3.1,1867,,,,,1631,3498
def_3_8,3.1,2295,2561,,,,1851,6707
claim_3_2,3.1,4001,2927,,,,3435,10363
def_3_9,3.1,2190,2355,,,,2092,6637
def_3_10,3.2,4753,,,,,3983,8736
claim_3_3,3.2,3956,,,,,2973,6929
claim_3_4,3.2,4224,,,,,2817,7041
claim_3_5,3.2,19379,,,,,8819,28198
def_3_11,3.2,5362,,,,,4117,9479
claim_3_6,3.2,6865,,,,,5316,12181
claim_3_7,3.2,9101,,,,,3293,12394
claim_3_8,3.2,5231,,,,,2418,7649
def_3_12,3.2,5414,,,,,3347,8761
claim_3_9,3.2,4135,,,,,3167,7302
claim_3_10,3.2,5686,,,,,1928,7614
claim_3_11,3.2,4888,,,,,2828,7716
claim_3_12,3.2,884,,,,,,884
def_3_13,3.2,4688,,,,,3506,8194
claim_3_13,3.2,5305,,,,,4763,10068
claim_3_14,3.2,8868,,,,,2700,11568
claim_3_15,3.2,6539,,,,,4186,10725
def_3_14,3.2,6343,,8860,,,3951,19154
claim_3_16,3.2,33307,,9099,,,16587,58993
claim_3_17,3.2,27404,,,,,7061,34465
claim_3_18,3.2,41778,,,,,37233,79011
claim_3_19,3.2,6690,,,,,5444,12134
def_3_15,3.3,4954,,,,,8824,13778
def_3_16,3.3,5829,,,6532,,5215,17576
claim_3_20,3.3,4730,,,3791,,3095,11616
def_3_17,3.3,2834,,,1428,,3214,7476
claim_3_21,3.3,0,,,,,,0
def_3_18,3.3,4043,,,1011,3436,2509,10999
claim_3_22,3.3,8565,,,,,,8565
claim_3_27,3.3,18062,,,,,,18062
claim_3_23,3.3,336,,,,,,336
claim_3_24,3.3,0,,,,,,0
claim_3_25,3.3,0,,,,,,0
claim_3_26,3.3,0,,,,,,0
TOTAL,,308820,7843,17959,12762,3436,189986,540806
